model_id,dataset,record_id,transition,left_condition,right_condition,field_count,psi,left_json_valid,right_json_valid,left_schema_valid,right_schema_valid,both_schema_valid,schema_break,delta_entity_exact_f1,abs_delta_entity_exact_f1,delta_entity_partial_f1,abs_delta_entity_partial_f1,delta_relation_exact_f1,abs_delta_relation_exact_f1
gemma_3_12b_it,EBM-NLP,11495215,P4->P5,P4,P5,3,0.0037154952685038247,1,1,1,1,1,0,0.025454545454545396,0.025454545454545396,-0.01090909090909098,0.01090909090909098,0.0,0.0
gemma_3_12b_it,EBM-NLP,11495215,P5->P6,P5,P6,3,0.004347821076711019,1,1,1,1,1,0,0.01781076066790352,0.01781076066790352,-0.060111317254174346,0.060111317254174346,0.0,0.0
gemma_3_12b_it,EBM-NLP,11642083,P1->P2,P1,P2,3,0.011319379011789957,1,1,1,1,1,0,0.0804810360777059,0.0804810360777059,0.12210915818686408,0.12210915818686408,0.0,0.0
gemma_3_12b_it,EBM-NLP,11642083,P2->P3,P2,P3,3,0.0009650190671284994,1,1,1,1,1,0,0.013238770685579215,0.013238770685579215,0.01702127659574465,0.01702127659574465,0.0,0.0
gemma_3_12b_it,EBM-NLP,11642083,P3->P4,P3,P4,3,0.027640819549560547,1,1,1,1,1,0,0.1074935400516796,0.1074935400516796,0.11162790697674418,0.11162790697674418,0.0,0.0
gemma_3_12b_it,EBM-NLP,11642083,P4->P5,P4,P5,3,0.006698866685231526,1,1,1,1,1,0,-0.11091234347048312,0.11091234347048312,-0.0500894454382827,0.0500894454382827,0.0,0.0
gemma_3_12b_it,EBM-NLP,11642083,P5->P6,P5,P6,3,0.022734562555948894,1,1,1,1,1,0,-0.18648018648018638,0.18648018648018638,-0.2797202797202797,0.2797202797202797,0.0,0.0
gemma_3_12b_it,EBM-NLP,11737955,P1->P2,P1,P2,3,0.021252254645029705,1,1,1,1,1,0,-0.03861003861003859,0.03861003861003859,-0.026254826254826114,0.026254826254826114,0.0,0.0
gemma_3_12b_it,EBM-NLP,11737955,P2->P3,P2,P3,3,0.01870216925938924,1,1,1,1,1,0,0.12454212454212449,0.12454212454212449,-0.00146520146520146,0.00146520146520146,0.0,0.0
gemma_3_12b_it,EBM-NLP,11737955,P3->P4,P3,P4,3,0.02575757106145223,1,1,1,1,1,0,-0.1161387631975867,0.1161387631975867,-0.0422322775263953,0.0422322775263953,0.0,0.0
gemma_3_12b_it,EBM-NLP,11737955,P4->P5,P4,P5,3,0.056068241596221924,1,1,1,1,1,0,-0.1764705882352941,0.1764705882352941,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11737955,P5->P6,P5,P6,3,0.03170541922251383,1,1,1,1,1,0,0.1176470588235294,0.1176470588235294,0.058823529411764774,0.058823529411764774,0.0,0.0
gemma_3_12b_it,EBM-NLP,11750293,P1->P2,P1,P2,3,0.017450590928395588,1,1,1,1,1,0,0.0,0.0,-0.06552706552706558,0.06552706552706558,0.0,0.0
gemma_3_12b_it,EBM-NLP,11750293,P2->P3,P2,P3,3,0.018340806166330974,1,1,1,1,1,0,0.0,0.0,0.10256410256410262,0.10256410256410262,0.0,0.0
gemma_3_12b_it,EBM-NLP,11750293,P3->P4,P3,P4,3,0.043459296226501465,1,1,1,1,1,0,0.1481481481481481,0.1481481481481481,-0.037037037037037035,0.037037037037037035,0.0,0.0
gemma_3_12b_it,EBM-NLP,11750293,P4->P5,P4,P5,3,0.03359983364741007,1,1,1,1,1,0,0.06237816764132559,0.06237816764132559,0.01949317738791423,0.01949317738791423,0.0,0.0
gemma_3_12b_it,EBM-NLP,11750293,P5->P6,P5,P6,3,0.013852516810099283,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11829043,P1->P2,P1,P2,3,0.014098008473714193,1,1,1,1,1,0,-0.06060606060606061,0.06060606060606061,-0.24242424242424254,0.24242424242424254,0.0,0.0
gemma_3_12b_it,EBM-NLP,11829043,P2->P3,P2,P3,3,0.010536213715871176,1,1,1,1,1,0,-0.03987240829346089,0.03987240829346089,-0.05582137161084527,0.05582137161084527,0.0,0.0
gemma_3_12b_it,EBM-NLP,11829043,P3->P4,P3,P4,3,0.04781631628672282,1,1,1,1,1,0,0.10721247563352831,0.10721247563352831,0.15009746588693967,0.15009746588693967,0.0,0.0
gemma_3_12b_it,EBM-NLP,11829043,P4->P5,P4,P5,3,0.013723631699879965,1,1,1,1,1,0,-0.057870370370370405,0.057870370370370405,0.04398148148148151,0.04398148148148151,0.0,0.0
gemma_3_12b_it,EBM-NLP,11829043,P5->P6,P5,P6,3,0.0031171043713887534,1,1,1,1,1,0,0.03232758620689652,0.03232758620689652,-0.07974137931034492,0.07974137931034492,0.0,0.0
gemma_3_12b_it,EBM-NLP,11891832,P1->P2,P1,P2,3,3.9736429850260414e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11891832,P2->P3,P2,P3,3,0.021384119987487793,1,1,1,1,1,0,0.01851851851851849,0.01851851851851849,0.021164021164021274,0.021164021164021274,0.0,0.0
gemma_3_12b_it,EBM-NLP,11891832,P3->P4,P3,P4,3,0.024874746799468994,1,1,1,1,1,0,0.10648148148148151,0.10648148148148151,0.2824074074074072,0.2824074074074072,0.0,0.0
gemma_3_12b_it,EBM-NLP,11891832,P4->P5,P4,P5,3,0.007658382256825765,1,1,1,1,1,0,-0.09166666666666667,0.09166666666666667,-0.07499999999999973,0.07499999999999973,0.0,0.0
